src_vid,dst_vid,ACT_TYPE,ACT_VALUE,ACT_SOURCE
92,O94759,IC50,4.15,CHEMBL
92,Q8TD43,IC50,4.7,IUPHAR
92,Q72874,Ki,9.64,CHEMBL
92,P00327|P00328,Ki,4.42,CHEMBL
92,P00338,Kd,3.19,CHEMBL
92,P0A9J4,Ki,2.2,CHEMBL
92,P29410,Ki,4.1,CHEMBL
92,O43598,Ki,4.72,CHEMBL
92,O35820,Ki,4.4,CHEMBL
93,P30536,IC50,7.1,WOMBAT-PK
93,O14764|P14867|P18505|P18507|P28472|P31644|P34903|P47869|P47870|P48169|Q16445|Q8N1C3|Q99928,,,SCIENTIFIC LITERATURE
94,P31390,IC50,4.77,CHEMBL
94,P08482|P08483|P08485|P08911|P10980,Kd,7.45,CHEMBL
99,P28223,Ki,5.4,IUPHAR
99,P41595,Ki,6.6,IUPHAR
99,P48039|P49286,Ki,10.0,CHEMBL
99,P49285|P49288|P51050,Ki,9.28,CHEMBL
99,P28335,Ki,6.2,IUPHAR
99,P48039,Ki,10.22,CHEMBL
99,P49286,Ki,10.0,CHEMBL
100,Q14524,,,DRUGBANK
100,P10635,IC50,6.0,DRUG MATRIX
100,Q9UK17,IC50,7.58,SCIENTIFIC LITERATURE
100,P22460,IC50,7.77,SCIENTIFIC LITERATURE
101,P12821,,,DRUG LABEL
102,P0AFI2|P20083,,,CHEMBL
102,P0AES4|P0AES6,,,CHEMBL
103,P50719,,,WOMBAT-PK
103,C4PKY4|C4PKZ2|C4PKZ6,,,CHEMBL
103,F1L005|F1L4P8|F1L5G6|F1L7U3|F1L7Y0|F1L8A5|F1LCS0,,,CHEMBL
104,P50719,,,WOMBAT-PK
105,P08588,Ki,5.613,PDSP
105,P07550,Ki,5.95,WOMBAT-PK
105,Q8K4Z4,Kd,5.94,CHEMBL
105,Q28044,Kd,6.28,CHEMBL
107,P35354,,,WOMBAT-PK
107,P23219,,,WOMBAT-PK
109,P11229,Kd,5.0,IUPHAR
109,P08172,Kd,6.9,IUPHAR
109,P20309,Kd,5.8,IUPHAR
109,P08173,Ki,5.6,WOMBAT-PK
109,Q15822,Ki,4.721,WOMBAT-PK
109,P36544,Ki,5.959,WOMBAT-PK
109,P06199,EC50,8.7,CHEMBL
109,P02708|P11230|Q07001,,,WOMBAT-PK
109,P30926|P43681,IC50,4.347,WOMBAT-PK
111,P08235,EC50,8.42,CHEMBL
111,P08185,Ki,6.28,CHEMBL
111,P04278,Kd,5.32,CHEMBL
111,P22199,IC50,7.37,CHEMBL
112,P14324,Ki,7.35,CHEMBL
112,Q0GKD7,Ki,7.02,CHEMBL
112,P49356,IC50,7.301,WOMBAT-PK
112,P05369,IC50,5.77,CHEMBL
